"query_accession"	"study_accession"	"title"	"abstract"	"description"	"study_type"	"center"	"submission_date"	"error"	"GSE"	"URL"
"SRP226114"	"PRJNA578165"	"De novo methylaton of the unmethylated K. phaffii genome by human DNA methyltransferases (DNMTs) [RNA-seq]"	""	"We engineered combinatorial knock-in of human DNMTs in Komagataella phaffii, a yeast species lacking endogenous DNA methylation, to characterize methylation preferences and functional consequences of individual de-novo DNMTs as well as their combinations. Methylation preferences were determined through whole-genome bisulfite sequencing (WGBS) experiments. Effects of knock-in on gene expression were determined by RNA-seq. Measurements of genome-wide methylation produced by distinct de-novo DNMTs permitted determination of methylation preferences and aversions specific to individual DNMTs. Combining methylation and gene expression data provided insight about cellular response to the stress of DNA methylation and about the association between gene methylation patterns and changes in transcriptional output. Overall design: RNA-seq for 13 experimental conditions. Five of these conditions were single gene knock-ins of DNMT1A, DNMT3A1, DNMT3A2, DNMT3B1,or DNMT3L. Three conditions were double knock-ins of DNMT1A and DNMT3L, DNMT3A1 and DNMT3L, or DNMT3A2 and DNMTL. For each of these conditions as well as for the control condition, RNA-seq was performed on total RNA extracted from K. phaffii cells 5 days after generating and validating knock-in strains. The remaining conditions composed a time-course experiment for the double knock-in of DNMT3B1 and DNMT3L in which RNA-seq was performed on total RNA extracted 1, 2, 3, and 4 days after generating and validating knock-in strains. All experiments were performed as biological triplicates. We used fragments per kilobase of transcript per million mapped reads (FPKM) normalization to obtain a table of library-size normalized expression values for each gene in each sample."	""	"University of Illinois, Urbana-Champaign"	"2020-03-24"	""	""	"https://dee2.io/huge/pichia/SRP226114_NA.zip"
"SRP238206"	"PRJNA596645"	"Transcriptomic analysis of Pichia pastoris (Komagataella phaffii) GS115 during heterologous protein production using a high-cell-density fed-batch cultivation strategy"	""	"We investigated gene expression during the bench-scale batch fermentation phase, glycerol feed phase, glycerol-methanol mixture feed (GM) phase, and at different time points following methanol induction using RNA-Seq. We report that the addition of the GM phase may help to alleviate the adverse effects of methanol addition (alone) on P. pastoris cells. Secondly, enhanced upregulation of the mitogen-activated protein kinase (MAPK) signaling pathway was observed in P. pastoris following methanol induction. The MAPK signaling pathway may be related to P. pastoris cell growth, and may regulate the AOX1 promoter via regulatory factors activated by methanol-mediated stimulation. Thirdly, the unfolded protein response (UPR) and ER-associated degradation (ERAD) pathways were not significantly upregulated during the methanol induction period. These results imply that the presence of unfolded or misfolded phytase protein did not represent a serious problem in our study. Finally, the upregulation of the autophagy pathway during the methanol induction phase may be related to the degradation of damaged peroxisomes but not to the production of phytase. This work describes the metabolic characteristics of P. pastoris during heterologous protein production under high-cell-density fed-batch cultivation. We believe that the results of this study will aid further in-depth studies of P. pastoris protein expression, regulation, and secretory mechanisms. Overall design: Investigate the physiological and metabolic characteristics of Pichia pastoris producing exogenous proteins under high-cell-density culture conditions"	""	"Yunnan Normal University"	"2019-12-21"	""	""	"https://dee2.io/huge/pichia/SRP238206_NA.zip"
"SRP278754"	"PRJNA659283"	"RNA-seq Reads of K. phaffii induced by ammonium formate"	""	"heterologous protein expression by K. phaffii"	""	"University of Shanghai for Science and Technology"	"2020-08-27"	""	""	"https://dee2.io/huge/pichia/SRP278754_NA.zip"
"SRP285907"	"PRJNA666642"	"Global gene expression of Pichia pastoris (Komagataella phaffii) with and without lignocellulose hydrolysate derived inhibitors"	""	"The main purpose of this experiment was to identify gene expression changes in Pichia pastoris (Komagataella phaffii) X33 under the effect of lignocellulosic hydrolysate derived inhibitors. Cells were grown in YNB 2% glucose, 4% xylose, buffered to pH 5,5 with phthalate buffer with either no inhibitors (control), or the following inhibitory conditions: acetic acid 2g/L or 6g/L, mixture 0,9 g/L furfural and 0,15 g/L HMF (FH 0,9/0,15 g/L) and 1,5 g/L furfural and 0,25 g/L HMF (FH 1,5/0,25 g/L) for furaldehydes and sugarcane bagasse hydrolysate diluted to 10% and 30% of the initial concentration. Samples were taken after 4h. Each experiment was repeated three times and sequence on an Illumina HiSeq 2500 system v4."	""	"Embrapa Agroenergia"	"2021-10-31"	""	""	"https://dee2.io/huge/pichia/SRP285907_NA.zip"
"SRP286906"	"PRJNA668364"	"Host-informed molecular engineering improves antigen quality and enables integrated manufacturing of a trivalent subunit vaccine [RNA-seq]"	""	"We analyzed the transcriptomes of K. phaffii strains secreting the VP8-P[6] serotype of the rotavirus antigen, and compared against null strains as well as strains secreting the VP8-P[4] or VP8-P[8] serotype in order to diagnose bottlenecks limiting robust secretion of P[6]. Overall design: Multiple replicates and clones of K. phaffii strains expressing either VP8-P[4], VP8-P[6], or VP8-P[8] as well as null (non-expressing) strains were analyzed for RNA expression. All strains were sampled following biomass accumulation in glycerol-containing medium for 24 hr following by induction of protein expression by growth in methanol-containing medium for an additional 24 hr."	""	"Koch Institute"	"2021-05-10"	""	""	"https://dee2.io/huge/pichia/SRP286906_NA.zip"
"SRP286925"	"PRJNA668384"	"Host-informed molecular engineering improves antigen quality and enables integrated manufacturing of a trivalent subunit vaccine [Ribo-seq]"	""	"We analyzed total RNA and ribosome footprints collected from a K. phaffii strain secreting the VP8-P[6] serotype of the rotavirus antigen and compared against a strain secreting the VP8-P[4] serotype for reference. Overall design: K. phaffii strains expressing either VP8-P[4] or VP8-P[6] were analyzed for total mRNA expression and ribosome protected mRNA quantification. All strains were sampled following biomass accumulation in glycerol-containing medium for 24 hr followed by induction of protein expression by growth in methanol-containing medium for an additional 16 hr."	""	"Koch Institute"	"2021-05-10"	""	""	"https://dee2.io/huge/pichia/SRP286925_NA.zip"
"SRP287050"	"PRJNA668560"	"Transcriptome analysis of Pichia pastoris delta-FLD adaptation strain with high methanol utilization and tolerance"	""	"Pichia pastoris (komagataella phaffii) is a very potential methylotrophic cell factories for methanol-based biomanufacturing, but its assimilation pathway is much lower than dissimilation pathway. To further improve methanol assimilation, we mutated formaldehyde dehydrogenase FLD to block methanol dissimilation pathway and forced the mutant to utilize methanol only by methanol assimilation via adaptive laboratory evolution strategy. Our results showed that we successfully blocked the methanol dissimilation by FLD mutant and obtained the evolved strain delta-FLDV6 with high methanol utilization and tolerance. delta-FLDV6 can grow on 4% methanol medium with 2 folds OD600 more than GS115. For better understanding of the transcriptional regulation, we focused on the transcriptome analysis of delta-FLD and delta-FLDV6 on high concentration of methanol. The expression profile of delta-FLD showed that genes were globally downregulated across all the time periods. Adaptation allowed delta-FLDV6 to obtain energy from amino acid metabolism to restore most of gene expression via some of the key enzymes of TCA pathway, such as KGD1, KGD2, LSC1, LSC2 and PDA1. At the same time, peroxisome, alcohol oxidase AOX1 and AOX2, PPP pathway, amino acids biosynthesis were strongly up-regulated compared to GS115. The ability of resistance to ROS was also improved. The glycolysis was furtherly downregulated in delta-FLDV6 compared with GS115. We assumed that all those were regulated by several key transcriptional factors with MET32, MET4 and CBF1 playing the core role in the regulation of complex metabolic networks. This study successfully improved the methanol assimilation by blocking methanol dissimilation pathway and changed the energy obtainments from amino acids metabolism. We made a preliminary attempt to elucidate metabolic networks of the transcriptional regulation on the energy obtainments and protection of cells avoid formaldehyde toxify and ROS damage in Pichia pastoris on high methanol condition. This study provided new understanding of the genetic regulation on Pichia pastoris and genetic targets for metabolic engineering of native and synthetic methylotrophs to enhance the methanol utilization and tolerance."	""	"Shanghai Institute of Nutrition and Health (SINH) of the Chinese Academy of Sciences (CAS)"	"2021-10-03"	""	""	"https://dee2.io/huge/pichia/SRP287050_NA.zip"
"SRP513264"	"PRJNA1122771"	"CRISPR-activation mediated long non-coding RNA overexpression in Komagataella phaffii"	""	"Here RNA-seq was used to examine gene expression differences when targeting long non-coding RNA (lncRNA) overexpression in a CRISPR-activation mediated manner in Komagataella phaffii. Strains were sequenced after small-scale, glucose-limited fed-batch like screenings of recombinant protein producing strains. A number of strains were used, including a strain without the CRISPR activation machinery, a no-targeting control that expressed all components including a scaffold-guide RNA (scgRNAs) not targeted to the K. phaffii genome, and other strains expressing scgRNAs targeted near the predicted transcript start site of lncRNAs."	""	"BOKU - University of Natural Resources and Life Sciences Vienna"	"2026-03-27"	""	""	"https://dee2.io/huge/pichia/SRP513264_NA.zip"
"SRP657116"	"PRJNA1390409"	"GSAR RNA-Seq Raw sequence reads"	""	"In this study, adaptive laboratory evolution (ALE) was performed on the wild-type Pichia pastoris GS115 strain, yielding the acid-tolerant strain GSAR capable of withstanding pH 2.6. The key genetic elements responsible for the acid tolerance of GSAR were identified, and the GSAR strain was further applied to the neutralizer-free fermentation for the production of organic acids and full-length recombinant proteins."	""	"east china university of science and technology"	"2025-12-19"	""	""	"https://dee2.io/huge/pichia/SRP657116_NA.zip"
"SRP472421"	"PRJNA1041482"	"RNA-seq of K. phaffii without D3 sequence in AOX1 promoter"	""	"RNA-seq of K. phaffii strains without D3 sequence in AOX1 promoter"	""	"University of Shanghai for Science and Technology"	"2023-11-18"	""	""	"https://dee2.io/huge/pichia/SRP472421_NA.zip"
